Month,New Signups,Registered Users,Paying Users,MRR,Monthly Revenue,COGS,Stripe Fees,Gross Profit,Marketing,Owner Draw,Infrastructure,Other Fixed,Total OpEx,Net Income,Cumulative Cash
1,8,8,1,14,14,4,1,9,250,0,195,75,520,-506,24994
2,12,20,2,28,28,7,2,19,250,0,195,75,520,-492,24502
3,15,35,3,42,42,10,2,30,250,0,210,75,535,-493,24009
4,18,53,4,56,56,14,3,39,250,0,220,75,545,-489,23520
5,20,73,6,84,84,19,4,61,250,0,235,75,560,-476,23044
6,22,95,8,112,112,26,5,81,300,0,250,75,625,-513,22531
7,25,120,10,140,140,32,6,102,300,0,265,75,640,-500,22031
8,28,148,12,168,168,39,7,122,300,0,280,75,655,-487,21544
9,30,178,14,196,196,45,8,143,350,1500,295,75,2220,-2024,19520
10,35,213,17,238,238,55,10,173,350,1500,310,75,2235,-1997,17523
11,40,253,20,280,280,64,11,205,400,1500,325,75,2300,-2020,15503
12,45,298,24,336,336,77,13,246,400,1500,340,75,2315,-1979,13524
